description,date,value
Zajęcia 2-3 i 9-11,11/06/2026,200.00 
Zajęcie 18 i 23-24,24/06/2026,300.00 
Skup kart,16/07/2026,110.00 
Z gotówki,06/08/2026,5.00 
Wypłata z XTB,04/08/2026,71.95 
Za wykłady Feynmana,08/08/2026,204.92 
Za napawę pilota,09/08/2026,50.00 
Na bilety,08/08/2026,10.00 
Skup książek,11/08/2026,546.99 
Z lego,19/08/2026,600.00 
Za ASG,22/08/2026,850.00 
Za książki do USG,28/08/2026,260.00 
Zanpizzę,01/09/2026,125.00 
Urodziny,03/09/2026,700.00 
Sweter OLX,07/09/2026,100.00 
Zajęcia 07-11,11/09/2026,500.00 
Zwrot za pizzę,11/09/2026,50.00 
Zajęcia 13-18,18.09.2026,500.00 
Od taty lip - wrz,19/09/2026,1500.00 
